"Dir","Name","HasFrontmatter","LineCount","Desc","Keywords"
"agent-memory-bench","agent-memory-bench","False","149","Agent Memory Benchmark Skill","Agent,Memory,Benchmark,Skill"
"ai-drama-scriptwriter","ai-drama-scriptwriter","False","126","AI 婕墽缂栧墽 Skill (ai-drama-scriptwriter) v2.0","Skill,ai-drama-scriptwriter"
"ai-drama-viral-analyzer","ai-drama-viral-analyzer","False","38","AI 鐖嗘鍒嗘瀽涓庤瀺鍚堝垱浣?Skill (ai-drama-viral-analyzer) v1.0",""
"ai-video-creator","ai-video-creator","False","193","AI Video Creator Pipeline Skill (ai-video-creator) v1.0","Video,Creator,Pipeline,Skill,ai-video-creator"
"ai-video-director","ai-video-director","False","245","AI Video Director Skill (ai-video-director) v1.0","Video,Director,Skill,ai-video-director"
"anti-degradation","""anti-degradation""","True","171","""涓婁笅鏂囪厫鐑傛娴嬩笌淇寰幆涓柇銆傛娴?Agent 閫€鍖栦俊鍙凤紝寮哄埗涓柇鏃犳晥淇寰幆锛岄槻姝㈠亣闃虫€ч€氳繃銆?",""
"anti-duplication","anti-duplication","True","192","""AI多次修改导致代码冗余/重复的检测与预防。检测重复代码块、重构后验证无新重复、搜索先于创建、DRY强制。用于AI频繁修改后清理、Review阶段质量检查、重构后验证。""",""
"bilibili-crawler","bilibili-crawler","False","74","Bilibili Crawler + Distillation Skill (bilibili-crawler) v1.0","Bilibili,Crawler,Distillation,Skill,bilibili-crawler"
"brainstorming","brainstorming","True","164","""You MUST use this before any creative work - creating features, building components, adding functionality, or modifying behavior. Explores user intent, requirements and design before implementation.""","You,MUST,use,this,before"
"character-designer","""character-designer""","True","124","""瀵硅瘽寮忔父鎴忚鑹茶璁℃櫤鑳戒綋銆?7姝ヨ璁°€佺害鏉熷簱(71涓?銆佸埆鍚嶆槧灏勩€佺‖杞垎绾с€?5鏉″啿绐佽鍒欍€佹垚闀挎棩蹇椼€佹ā鐗堣嚜妫€銆?",""
"code-knowledge-graph","code-knowledge-graph","False","160","Code Knowledge Graph Skill","Code,Knowledge,Graph,Skill"
"code-quality-reviewer","""code-quality-reviewer""","True","217","""浠ｇ爜璐ㄦ + 鏀瑰姩楠屾敹鏅鸿兘浣撱€傚弻閲嶈亴璐ｏ細浠ｇ爜妗嗘灦鍚堣/鍐椾綑/瀹夊叏妫€鏌?+ 閫愰」瀵圭収闇€姹傞獙鏀躲€佹敹闆嗚瘉鎹€佽緭鍑烘姤鍛娿€傚己鍒?fail-closed 鐙珛楠岃瘉銆?",""
"code-simplifier","code-simplifier","True","49","""浠ｇ爜绠€鍖栦笓瀹躲€傚湪淇濇寔琛屼负涓嶅彉鐨勫墠鎻愪笅闄嶄綆浠ｇ爜澶嶆潅搴︺€傜敤浜庝唬鐮丷eview鍚庡彂鐜板彲璇绘€ч棶棰樸€侀渶瑕佹秷闄ゆ繁灞傚祵濂椼€侀€昏緫鍙悎骞躲€佹垨瀹炵幇鍚庢竻鐞嗘椂璋冪敤銆?",""
"code-verifier","""code-verifier""","True","46","""浠ｇ爜楠岃瘉瀛?agent銆傜嫭绔嬬紪璇?杩愯/瀵圭収 spec 鑷銆備笉鍐欏疄鐜颁唬鐮侊紝""","spec"
"codex-project-router","codex-project-router","True","185","Codex-specific adapter for the shared UEGameDevelopment AI workflow. Use before Codex plans or edits project/workflow tasks so Codex follows task packets, architecture evidence, and mechanical gates.","Codex-specific,adapter,for,the,shared"
"daughter-companion","daughter-companion","False","205","",""
"dispatching-parallel-agents","dispatching-parallel-agents","True","182","Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies","Use,when,facing,independent,tasks"
"doc-governance","doc-governance","True","86","Use when changing project code, creating or moving project documents, writing specs or plans, or when documentation placement, document trees, docs-impact, or doc-guard are relevant","Use,when,changing,project,code"
"enhanced-subagent","enhanced-subagent","False","109","Enhanced Subagent Skill","Enhanced,Subagent,Skill"
"executing-plans","executing-plans","True","70","Use when you have a written implementation plan to execute in a separate session with review checkpoints","Use,when,you,have,written"
"failure-memory","""failure-memory""","True","112","""璺ㄤ細璇濆け璐ョ粡楠岃蹇嗕笌妫€绱€俁eview/Verify 澶辫触鏃惰褰曪紝Plan 闃舵鑷姩妫€绱㈢浉鍏虫暀璁紝鍙敞鍏ユ憳瑕佷笉娉ㄥ叆鍏ㄦ枃銆?","Verify"
"find-skills","""find-skills""","True","20","""Search and discover relevant skills from the project skill registry. Use when the current task requires a capability not yet loaded, or when the user asks what skills are available for a specific dom...","Search,and,discover,relevant,skills"
"finishing-a-development-branch","finishing-a-development-branch","True","251","Use when implementation is complete, all tests pass, and you need to decide how to integrate the work - guides completion of development work by presenting structured options for merge, PR, or cleanup","Use,when,implementation,complete,all"
"github-project-search","github-project-search","True","96","""GitHub鏂规鎼滅储銆傜敤鎴烽渶瑕佹悳绱㈠紑婧愰」鐩€佸弬鑰冨疄鐜般€佹妧鏈柟妗堟椂锛屼娇鐢℅itHub MCP宸ュ叿杩涜澶氱淮搴︽悳绱紙浠撳簱/浠ｇ爜/Issue锛夛紝杈撳嚭缁撴瀯鍖栧姣旀姤鍛娿€?",""
"hermes-jinli-implementer","hermes-jinli-implementer","True","706","Hermes 閫傞厤鍣?鈥?閲戠拑濂藉府鎵?Implement Agent 璇箟灞傦紝缈昏瘧 Hermes MCP/Plugin/Bundle 绾︽潫涓哄叡浜伐浣滄祦琛屼负銆?","Hermes,Agent,Hermes,MCP,Plugin"
"hermes-jinli-planner","hermes-jinli-planner","True","59","Hermes 閫傞厤鍣?鈥?閲戠拑灏忓ぉ鎵?Plan Agent 璇箟灞傦紝缈昏瘧 Hermes MCP/Plugin/Bundle 绾︽潫涓哄叡浜伐浣滄祦琛屼负銆?---","Hermes,Agent,Hermes,MCP,Plugin"
"hermes-jinli-verifier","hermes-jinli-verifier","True","60","Hermes 閫傞厤鍣?鈥?楠岃瘉瑙掕壊璇箟灞傦紝鍙楠岃瘉妯″紡锛岀嫭绔嬮噸鏂拌繍琛屾墍鏈夋鏌ャ€?---","Hermes"
"hermes-project-router","hermes-project-router","True","42","Hermes 閫傞厤鍣?鈥?涓?Hermes Profile 鎻愪緵椤圭洰鍏ュ彛璇嗗埆鍜屼换鍔″寘璺敱锛屾ˉ鎺?Hermes 宸ュ叿璇箟涓庡叡浜伐浣滄祦銆?---","Hermes,Profile"
"implicit-requirements","""implicit-requirements""","True","84","""璁捐鏂囨。椹卞姩鐨勯殣鍚渶姹傛帹瀵笺€備粠宸叉湁璁捐鏂囨。鍙嶅悜鎺ㄥ鐢ㄦ埛娌¤鍑哄彛鐨勫墠鎻愭潯浠讹紝闃叉瀹炵幇鏃堕仐婕忓叧閿害鏉燂拷?",""
"jinli-agent-soul","jinli-agent-soul","True","144","Use when Jinli Plan or Implement agents participate in a session that requires Soul Core lifecycle, response planning, emotional event triggers, or graceful fallback.","Use,when,Jinli,Plan,Implement"
"memory-keeper","""memory-keeper""","True","47","""璁板繂绠＄悊瀛?agent銆傚皝瑁?T4 璁板繂鏈嶅姟 API锛?",""
"output-compressor","output-compressor","False","123","Output Compressor Skill","Output,Compressor,Skill"
"prompt-compressor","""prompt-compressor""","True","159","""鎻愮ず璇嶇敓鎴愪笌鍘嬬缉寮曟搸銆傚皢缁撴瀯鍖栫害鏉熻浆鎹负鑷劧娴佺晠鐨勮鑹叉弿杩帮紝鑷姩鐢熸垚璐熷悜鎻愮ず璇嶏紝鍘嬬缉鍐椾綑鏂囨湰锛岃緭鍑虹敓鍥惧彲鐢ㄧ殑瑙掕壊鎻愮ず璇嶃€?",""
"receiving-code-review","receiving-code-review","True","213","Use when receiving code review feedback, before implementing suggestions, especially if feedback seems unclear or technically questionable - requires technical rigor and verification, not performative...","Use,when,receiving,code,review"
"requesting-code-review","requesting-code-review","True","103","Use when completing tasks, implementing major features, or before merging to verify work meets requirements","Use,when,completing,tasks,implementing"
"smart-requirements","""smart-requirements""","True","125","""Use when a user asks for a new system, meaningful feature, workflow or UI redesign, or describes an outcome with uncertain boundaries, users, behavior, or success criteria.""","Use,when,user,asks,for"
"spec-living","""spec-living""","True","150","""Living Spec 鐢熷懡鍛ㄦ湡绠＄悊鈥斺€旀妸 spec.md 浠庨潤鎬佽璁℃枃妗ｅ崌绾т负娲荤潃鐨勯」鐩姸鎬佹枃浠躲€備换浣?AI 鎵撳紑瀹冨氨鑳藉湪 30 绉掑唴鐞嗚В椤圭洰鍏ㄨ矊銆?","Living,Spec,spec"
"subagent-driven-development","subagent-driven-development","True","279","Use when executing implementation plans with independent tasks in the current session","Use,when,executing,implementation,plans"
"systematic-debugging","systematic-debugging","True","296","Use when encountering any bug, test failure, or unexpected behavior, before proposing fixes","Use,when,encountering,any,bug"
"task-orchestrator","task-orchestrator","True","224","Auto-detect task type from user request and activate the optimal Skill combination. Use when starting any new task to avoid manual Skill selection. Reduces cognitive overhead and ensures consistent Sk...","Auto-detect,task,type,from,user"
"test-driven-development","test-driven-development","True","371","Use when implementing any feature or bugfix, before writing implementation code","Use,when,implementing,any,feature"
"token-guardian","""token-guardian""","True","109","""Token 娑堣€椾紭鍖栤€斺€斿悎骞?squeez/token-optimizer/governor 鐨?token 鑺傜渷鏈€浣冲疄璺?","Token,token-optimizer,governor"
"tool-engineer","""tool-engineer""","True","46","""宸ュ叿閾惧瓙 agent銆俉indows 妗岄潰鎿嶆帶锛坧ywinauto/pyautogui锛夈€丳owerShell""",""
"ue5-animation-guide","""ue5-animation-guide""","True","126","鍔ㄧ敾钃濆浘妯″紡銆傞€熷害閲囨牱/鍥涘悜鏂瑰悜/CardinalAnimSet/绾跨▼瀹夊叏UpdateAnimation/RootMotion/鍔ㄧ敾娣峰悎銆侫nimBlueprint/鐘舵€佹満/RootMotion鏃惰皟鐢ㄣ€?---","CardinalAnimSet,RootMotion"
"ue5-architecture","ue5-architecture","True","31","UE5.6/UE5.7 architecture planning and module boundary design for Unreal projects. Use when requests involve module layout, Build.cs dependencies, reflection exposure strategy, Public/Private API bound...","UE5,UE5,architecture,planning,and"
"ue5-auto-assistant","""ue5-auto-assistant""","True","54","""Universal Unreal Engine 5 assistant. Invoke for any UE5 gameplay, Blueprint, UI, save/load, PCG, performance, architecture, or debugging request.""","Universal,Unreal,Engine,assistant,Invoke"
"ue5-blueprint-workflow","""ue5-blueprint-workflow""","True","40","""Implements or modifies Blueprint features with a validate-first workflow. Invoke when user asks about Blueprints, nodes, Enhanced Input, interactions, or UMG wiring.""","Implements,modifies,Blueprint,features,with"
"ue5-cpp-gameplay","ue5-cpp-gameplay","True","122","UE5.6/UE5.7 gameplay C++ implementation for Actors, Components, DataAssets, and gameplay logic. Use when requests ask to write .h/.cpp pairs, expose UPROPERTY/UFUNCTION to Blueprint, use GameplayTags,...","UE5,UE5,gameplay,implementation,for"
"ue5-debug-validation","""ue5-debug-validation""","True","50","""UE5 椤圭洰璐ㄩ噺涓庤皟璇曞姪鎵嬨€傜敤浜庢柟妗堟娴嬨€佷唬鐮佽川閲忓鏌ャ€佺紪璇?杩愯閿欒瀹氫綅涓庝慨澶嶏紝骞舵矇娣€閿欒棰勯槻瑙勫垯銆?","UE5"
"ue5-mass-entity","""ue5-mass-entity""","True","376","Mass Entity澶ц妯″疄浣撴鏋躲€侲CS鏋舵瀯/EntityConfig/Processor/Trait/StateTree闆嗘垚/Blueprint閰嶇疆銆?00+鍗曚綅鍦烘櫙浣跨敤銆?---","Mass,EntityConfig,Processor,Trait"
"ue5-module-router","ue5-module-router","True","40","Route UE5.6/UE5.7 questions to the most precise skill using module names, aliases, intent keywords, and layer context. Works for explicit module prompts (RenderCore, AIModule, AssetRegistry) and natur...","Route,UE5,UE5,questions,the"
"ue5-pcg-building","ue5-pcg-building","True","142","UE5.6/UE5.7 PCG building generation workflow for modular buildings, blockouts, facade rules, and runtime generation. Use when requests involve Procedural Content Generation (PCG), Shape Grammar, lot-b...","UE5,UE5,PCG,building,generation"
"ue5-performance-packaging","ue5-performance-packaging","True","110","UE5.6/UE5.7 performance and packaging readiness workflow. Use when requests involve PIE performance checks, runtime stat review, pre-package validation, build configuration sanity, and release readine...","UE5,UE5,performance,and,packaging"
"ue5-save-load-replication","ue5-save-load-replication","True","114","UE5.6/UE5.7 save/load and multiplayer replication workflow for gameplay systems. Use when requests involve SaveGame schema design, serialization, restore pipelines, RepNotify handling, RPC entry point...","UE5,UE5,save,load,and"
"ue5-ui-umg-slate","ue5-ui-umg-slate","True","202","UE5.6/UE5.7 UI development workflow using UMG and Slate integration. Use when requests involve Widget Blueprint setup, Slate host widgets, lifecycle binding, input and focus handling, tooltip behavior...","UE5,UE5,development,workflow,using"
"ue5-world-interaction","ue5-world-interaction","True","113","UE5.6/UE5.7 world interaction systems for pickups, spawners, overlap/trace checks, and visual feedback. Use when requests involve interactive world actors, spawn logic, pickup behavior, interaction ra...","UE5,UE5,world,interaction,systems"
"ue-ai-validator","""ue-ai-validator""","True","122","""褰撳墠椤圭洰鐨?AI 涓庨獙璇佹敹鍙ｆ櫤鑳戒綋銆傝礋璐ｆ鏌?StateTree/BT/EQS/SmartObject 閫夊瀷銆佺紪璇戦闄┿€佽祫浜ф帴绾夸笌鍥炲綊楠岃瘉銆傚凡鏁村悎鐙珛楠岃瘉瑙勫垯 + Memory Candidate 杈撳嚭銆?","EQS,SmartObject,Memory,Candidate"
"ue-engineer","""ue-engineer""","True","56","""UE5 瀹炵幇瀛?agent銆傚啓 C++ Actor/Component/DataAsset銆丅lueprint銆?","UE5,Actor,Component"
